
BUSES AND NODES IN ACTIVE CIRCUIT: lvtest

                                    Coord                                 Number of     Nodes
  Bus          Base kV             (x, y)                      Keep?       Nodes        connected ...
"132"         0.416          ( 390923.576   , 392835.814   )     No           3          1    2    3 
"133"         0.416          ( 390925.817   , 392843.725   )     No           3          1    2    3 
"134"         0.416          ( 390908.271   , 392825.3     )     No           3          1    2    3 
"135"         0.416          ( 390872.865   , 392831.803   )     No           3          1    2    3 
"136"         0.416          ( 390917.072   , 392843.826   )     No           3          1    2    3 
"137"         0.416          ( 390919.412   , 392836.253   )     No           3          1    2    3 
"138"         0.416          ( 390923.799   , 392835.572   )     No           3          1    2    3 
"139"         0.416          ( 390929.524   , 392847.569   )     No           3          1    2    3 
"140"         0.416          ( 390907.615   , 392824.551   )     No           3          1    2    3 
"141"         0.416          ( 390871.466   , 392831.607   )     No           3          1    2    3 
"142"         0.416          ( 390918.076   , 392844.727   )     No           3          1    2    3 
"143"         0.416          ( 390919.608   , 392836.348   )     No           3          1    2    3 
"144"         0.416          ( 390923.973   , 392835.3     )     No           3          1    2    3 
"145"         0.416          ( 390932.015   , 392850.135   )     No           3          1    2    3 
"146"         0.416          ( 390907.053   , 392823.802   )     No           3          1    2    3 
"147"         0.416          ( 390871.226   , 392831.623   )     No           3          1    2    3 
"148"         0.416          ( 390922.542   , 392849.331   )     No           3          1    2    3 
"149"         0.416          ( 390919.762   , 392836.466   )     No           3          1    2    3 
"150"         0.416          ( 390924.07    , 392835.058   )     No           3          1    2    3 
"151"         0.416          ( 390934.503   , 392852.697   )     No           3          1    2    3 
"152"         0.416          ( 390935.584   , 392846.448   )     No           3          1    2    3 
"153"         0.416          ( 390906.491   , 392822.865   )     No           3          1    2    3 
"154"         0.416          ( 390871.173   , 392831.687   )     No           3          1    2    3 
"155"         0.416          ( 390923.521   , 392850.328   )     No           3          1    2    3 
"156"         0.416          ( 390919.905   , 392836.632   )     No           3          1    2    3 
"157"         0.416          ( 390924.128   , 392834.671   )     No           3          1    2    3 
"158"         0.416          ( 390941.046   , 392859.545   )     No           3          1    2    3 
"159"         0.416          ( 390935.817   , 392846.24    )     No           3          1    2    3 
"160"         0.416          ( 390906.35    , 392822.584   )     No           3          1    2    3 
"161"         0.416          ( 390871.128   , 392831.801   )     No           3          1    2    3 
"162"         0.416          ( 390915.061   , 392858.471   )     No           3          1    2    3 
"163"         0.416          ( 390927.222   , 392854.1     )     No           3          1    2    3 
"164"         0.416          ( 390920.012   , 392836.805   )     No           3          1    2    3 
"165"         0.416          ( 390924.169   , 392834.201   )     No           3          1    2    3 
"166"         0.416          ( 390943.336   , 392861.907   )     No           3          1    2    3 
"167"         0.416          ( 390935.995   , 392846.017   )     No           3          1    2    3 
"168"         0.416          ( 390905.502   , 392821.012   )     No           3          1    2    3 
"169"         0.416          ( 390871.1     , 392832.049   )     No           3          1    2    3 
"170"         0.416          ( 390913.478   , 392860.025   )     No           3          1    2    3 
"171"         0.416          ( 390931.986   , 392859.25    )     No           3          1    2    3 
"172"         0.416          ( 390920.077   , 392836.965   )     No           3          1    2    3 
"173"         0.416          ( 390924.246   , 392833.853   )     No           3          1    2    3 
"174"         0.416          ( 390946.01    , 392864.771   )     No           3          1    2    3 
"175"         0.416          ( 390946.317   , 392858.942   )     No           3          1    2    3 
"176"         0.416          ( 390936.05    , 392845.912   )     No           3          1    2    3 
"177"         0.416          ( 390905.189   , 392820.053   )     No           3          1    2    3 
"178"         0.416          ( 390910       , 392863       )     No           3          1    2    3 
"179"         0.416          ( 390932.788   , 392860.118   )     No           3          1    2    3 
"180"         0.416          ( 390930.205   , 392860.892   )     No           3          1    2    3 
"181"         0.416          ( 390920.101   , 392837.143   )     No           3          1    2    3 
"182"         0.416          ( 390924.411   , 392833.475   )     No           3          1    2    3 
"183"         0.416          ( 390946.422   , 392865.19    )     No           3          1    2    3 
"184"         0.416          ( 390946.618   , 392858.602   )     No           3          1    2    3 
"185"         0.416          ( 390936.119   , 392845.666   )     No           3          1    2    3 
"186"         0.416          ( 390905.022   , 392819.323   )     No           3          1    2    3 
"187"         0.416          ( 390935.932   , 392863.545   )     No           3          1    2    3 
"188"         0.416          ( 390923.046   , 392867.911   )     No           3          1    2    3 
"189"         0.416          ( 390920.095   , 392837.297   )     No           3          1    2    3 
"190"         0.416          ( 390924.644   , 392833.165   )     No           3          1    2    3 
"191"         0.416          ( 390948.046   , 392866.84    )     No           3          1    2    3 
"192"         0.416          ( 390946.652   , 392865.034   )     No           3          1    2    3 
"193"         0.416          ( 390946.84    , 392858.223   )     No           3          1    2    3 
"194"         0.416          ( 390936.242   , 392845.027   )     No           3          1    2    3 
"195"         0.416          ( 390904.938   , 392818.655   )     No           3          1    2    3 
"196"         0.416          ( 390941.568   , 392869.643   )     No           3          1    2    3 
"197"         0.416          ( 390921.647   , 392869.283   )     No           3          1    2    3 
"198"         0.416          ( 390923.824   , 392868.734   )     No           3          1    2    3 
"199"         0.416          ( 390920.042   , 392837.481   )     No           3          1    2    3 
"200"         0.416          ( 390924.934   , 392832.865   )     No           3          1    2    3 
"201"         0.416          ( 390948.693   , 392867.51    )     No           3          1    2    3 
"202"         0.416          ( 390946.807   , 392864.979   )     No           3          1    2    3 
"203"         0.416          ( 390946.971   , 392857.897   )     No           3          1    2    3 
"204"         0.416          ( 390936.288   , 392844.648   )     No           3          1    2    3 
"205"         0.416          ( 390905.001   , 392817.821   )     No           3          1    2    3 
"206"         0.416          ( 390939.128   , 392871.786   )     No           3          1    2    3 
"207"         0.416          ( 390943.019   , 392871.212   )     No           3          1    2    3 
"208"         0.416          ( 390917       , 392871       )     No           3          1    2    3 
"209"         0.416          ( 390923.916   , 392868.865   )     No           3          1    2    3 
"210"         0.416          ( 390919.804   , 392837.861   )     No           3          1    2    3 
"211"         0.416          ( 390925.39    , 392832.419   )     No           3          1    2    3 
"212"         0.416          ( 390946.962   , 392864.97    )     No           3          1    2    3 
"213"         0.416          ( 390947.023   , 392857.622   )     No           3          1    2    3 
"214"         0.416          ( 390936.388   , 392844.4     )     No           3          1    2    3 
"215"         0.416          ( 390905.251   , 392816.298   )     No           3          1    2    3 
"216"         0.416          ( 390931.512   , 392879.201   )     No           3          1    2    3 
"217"         0.416          ( 390945.597   , 392874.081   )     No           3          1    2    3 
"218"         0.416          ( 390923.961   , 392868.986   )     No           3          1    2    3 
"219"         0.416          ( 390919.412   , 392838.407   )     No           3          1    2    3 
"220"         0.416          ( 390926.643   , 392831.209   )     No           3          1    2    3 
"221"         0.416          ( 390947.126   , 392865.015   )     No           3          1    2    3 
"222"         0.416          ( 390947.089   , 392857.034   )     No           3          1    2    3 
"223"         0.416          ( 390936.61    , 392843.936   )     No           3          1    2    3 
"224"         0.416          ( 390905.69    , 392815.026   )     No           3          1    2    3 
"225"         0.416          ( 390927       , 392880       )     No           3          1    2    3 
"226"         0.416          ( 390946.519   , 392875.104   )     No           3          1    2    3 
"227"         0.416          ( 390923.967   , 392869.089   )     No           3          1    2    3 
"228"         0.416          ( 390926.75    , 392831.106   )     No           3          1    2    3 
"229"         0.416          ( 390947.326   , 392865.134   )     No           3          1    2    3 
"230"         0.416          ( 390947.18    , 392856.577   )     No           3          1    2    3 
"231"         0.416          ( 390936.749   , 392843.721   )     No           3          1    2    3 
"232"         0.416          ( 390906.065   , 392814.191   )     No           3          1    2    3 
"233"         0.416          ( 390937.556   , 392882.924   )     No           3          1    2    3 
"234"         0.416          ( 390947.273   , 392875.942   )     No           3          1    2    3 
"235"         0.416          ( 390923.916   , 392869.238   )     No           3          1    2    3 
"236"         0.416          ( 390926.805   , 392831.065   )     No           3          1    2    3 
"237"         0.416          ( 390947.49    , 392865.261   )     No           3          1    2    3 
"238"         0.416          ( 390947.287   , 392856.272   )     No           3          1    2    3 
"239"         0.416          ( 390936.874   , 392843.589   )     No           3          1    2    3 
"240"         0.416          ( 390906.399   , 392813.691   )     No           3          1    2    3 
"241"         0.416          ( 390936.301   , 392884.111   )     No           3          1    2    3 
"242"         0.416          ( 390923.807   , 392869.387   )     No           3          1    2    3 
"243"         0.416          ( 390926.875   , 392831.043   )     No           3          1    2    3 
"244"         0.416          ( 390947.59    , 392865.397   )     No           3          1    2    3 
"245"         0.416          ( 390947.457   , 392855.998   )     No           3          1    2    3 
"246"         0.416          ( 390938.352   , 392842.126   )     No           3          1    2    3 
"247"         0.416          ( 390907.213   , 392812.685   )     No           3          1    2    3 
"248"         0.416          ( 390931       , 392884       )     No           3          1    2    3 
"249"         0.416          ( 390931       , 392884       )     No           3          1    2    3 
"250"         0.416          ( 390923.606   , 392869.587   )     No           3          1    2    3 
"251"         0.416          ( 390926.945   , 392831.047   )     No           3          1    2    3 
"252"         0.416          ( 390947.626   , 392865.525   )     No           3          1    2    3 
"253"         0.416          ( 390947.784   , 392855.658   )     No           3          1    2    3 
"254"         0.416          ( 390938.796   , 392841.703   )     No           3          1    2    3 
"255"         0.416          ( 390910.805   , 392815.497   )     No           3          1    2    3 
"256"         0.416          ( 390907.752   , 392812.019   )     No           3          1    2    3 
"257"         0.416          ( 390922.855   , 392870.303   )     No           3          1    2    3 
"258"         0.416          ( 390927.019   , 392831.072   )     No           3          1    2    3 
"259"         0.416          ( 390947.635   , 392865.698   )     No           3          1    2    3 
"260"         0.416          ( 390949.052   , 392854.417   )     No           3          1    2    3 
"261"         0.416          ( 390938.914   , 392841.633   )     No           3          1    2    3 
"262"         0.416          ( 390911.309   , 392815.876   )     No           3          1    2    3 
"263"         0.416          ( 390909.871   , 392809.604   )     No           3          1    2    3 
"264"         0.416          ( 390921       , 392875       )     No           3          1    2    3 
"265"         0.416          ( 390927.156   , 392831.157   )     No           3          1    2    3 
"266"         0.416          ( 390947.599   , 392865.889   )     No           3          1    2    3 
"267"         0.416          ( 390949.358   , 392854.138   )     No           3          1    2    3 
"268"         0.416          ( 390936.706   , 392838.972   )     No           3          1    2    3 
"269"         0.416          ( 390939.032   , 392841.62    )     No           3          1    2    3 
"270"         0.416          ( 390911.514   , 392816.081   )     No           3          1    2    3 
"271"         0.416          ( 390913.165   , 392812.297   )     No           3          1    2    3 
"272"         0.416          ( 390910.583   , 392808.793   )     No           3          1    2    3 
"273"         0.416          ( 390927.282   , 392831.268   )     No           3          1    2    3 
"274"         0.416          ( 390947.508   , 392866.043   )     No           3          1    2    3 
"275"         0.416          ( 390949.516   , 392854.033   )     No           3          1    2    3 
"276"         0.416          ( 390935       , 392836       )     No           3          1    2    3 
"277"         0.416          ( 390939.171   , 392841.613   )     No           3          1    2    3 
"278"         0.416          ( 390911.683   , 392816.381   )     No           3          1    2    3 
"279"         0.416          ( 390913.42    , 392812.472   )     No           3          1    2    3 
"280"         0.416          ( 390913.173   , 392805.861   )     No           3          1    2    3 
"281"         0.416          ( 390927.695   , 392831.755   )     No           3          1    2    3 
"282"         0.416          ( 390947.071   , 392866.462   )     No           3          1    2    3 
"283"         0.416          ( 390949.636   , 392853.999   )     No           3          1    2    3 
"284"         0.416          ( 390939.296   , 392841.627   )     No           3          1    2    3 
"285"         0.416          ( 390911.851   , 392816.885   )     No           3          1    2    3 
"286"         0.416          ( 390913.648   , 392812.586   )     No           3          1    2    3 
"287"         0.416          ( 390914.334   , 392804.546   )     No           3          1    2    3 
"288"         0.416          ( 390912.467   , 392805.282   )     No           3          1    2    3 
"289"         0.416          ( 390931       , 392831       )     No           3          1    2    3 
"290"         0.416          ( 390946.507   , 392867.044   )     No           3          1    2    3 
"291"         0.416          ( 390949.096   , 392853.309   )     No           3          1    2    3 
"292"         0.416          ( 390949.744   , 392853.995   )     No           3          1    2    3 
"293"         0.416          ( 390939.414   , 392841.675   )     No           3          1    2    3 
"294"         0.416          ( 390912.001   , 392817.334   )     No           3          1    2    3 
"295"         0.416          ( 390913.996   , 392812.686   )     No           3          1    2    3 
"296"         0.416          ( 390914.839   , 392803.916   )     No           3          1    2    3 
"297"         0.416          ( 390909.292   , 392803.146   )     No           3          1    2    3 
"298"         0.416          ( 390948.848   , 392852.992   )     No           3          1    2    3 
"299"         0.416          ( 390949.819   , 392854.01    )     No           3          1    2    3 
"300"         0.416          ( 390939.539   , 392841.731   )     No           3          1    2    3 
"301"         0.416          ( 390912.188   , 392817.651   )     No           3          1    2    3 
"302"         0.416          ( 390915.584   , 392813.037   )     No           3          1    2    3 
"303"         0.416          ( 390918.269   , 392799.909   )     No           3          1    2    3 
"304"         0.416          ( 390908.726   , 392802.519   )     No           3          1    2    3 
"305"         0.416          ( 390948.3925  , 392852.4855  )     No           3          1    2    3 
"306"         0.416          ( 390949.898   , 392854.051   )     No           3          1    2    3 
"307"         0.416          ( 390940.115   , 392842.278   )     No           3          1    2    3 
"308"         0.416          ( 390912.454   , 392818.024   )     No           3          1    2    3 
"309"         0.416          ( 390915.882   , 392813.133   )     No           3          1    2    3 
"310"         0.416          ( 390918.529   , 392799.613   )     No           3          1    2    3 
"311"         0.416          ( 390908.548   , 392802.302   )     No           3          1    2    3 
"312"         0.416          ( 390947.472   , 392851.557   )     No           3          1    2    3 
"313"         0.416          ( 390950.032   , 392854.156   )     No           3          1    2    3 
"314"         0.416          ( 390943       , 392844       )     No           3          1    2    3 
"315"         0.416          ( 390912.783   , 392818.365   )     No           3          1    2    3 
"316"         0.416          ( 390916.093   , 392813.229   )     No           3          1    2    3 
"317"         0.416          ( 390919.05    , 392800       )     No           3          1    2    3 
"318"         0.416          ( 390923.291   , 392794.191   )     No           3          1    2    3 
"319"         0.416          ( 390908.47    , 392802.178   )     No           3          1    2    3 
"320"         0.416          ( 390946       , 392848       )     No           3          1    2    3 
"321"         0.416          ( 390950.481   , 392854.63    )     No           3          1    2    3 
"322"         0.416          ( 390913.191   , 392818.747   )     No           3          1    2    3 
"323"         0.416          ( 390916.33    , 392813.352   )     No           3          1    2    3 
"324"         0.416          ( 390921.636   , 392802.118   )     No           3          1    2    3 
"325"         0.416          ( 390925.511   , 392791.533   )     No           3          1    2    3 
"326"         0.416          ( 390908.408   , 392802.069   )     No           3          1    2    3 
"327"         0.416          ( 390952       , 392853       )     No           3          1    2    3 
"328"         0.416          ( 390913.426   , 392818.962   )     No           3          1    2    3 
"329"         0.416          ( 390916.549   , 392813.501   )     No           3          1    2    3 
"330"         0.416          ( 390922.556   , 392802.836   )     No           3          1    2    3 
"331"         0.416          ( 390932.594   , 392797.299   )     No           3          1    2    3 
"332"         0.416          ( 390929.7419  , 392786.3729  )     No           3          1    2    3 
"333"         0.416          ( 390908.354   , 392801.937   )     No           3          1    2    3 
"334"         0.416          ( 390914.512   , 392819.906   )     No           3          1    2    3 
"335"         0.416          ( 390918.357   , 392814.966   )     No           3          1    2    3 
"336"         0.416          ( 390924.531   , 392804.433   )     No           3          1    2    3 
"337"         0.416          ( 390935       , 392800       )     No           3          1    2    3 
"338"         0.416          ( 390934.963   , 392790.74    )     No           3          1    2    3 
"339"         0.416          ( 390930.511   , 392785.435   )     No           3          1    2    3 
"340"         0.416          ( 390908.323   , 392801.829   )     No           3          1    2    3 
"341"         0.416          ( 390914.975   , 392820.221   )     No           3          1    2    3 
"342"         0.416          ( 390923       , 392816       )     No           3          1    2    3 
"343"         0.416          ( 390926.15    , 392805.742   )     No           3          1    2    3 
"344"         0.416          ( 390923.88    , 392805.165   )     No           3          1    2    3 
"345"         0.416          ( 390937.605   , 392792.915   )     No           3          1    2    3 
"346"         0.416          ( 390931.168   , 392784.63    )     No           3          1    2    3 
"347"         0.416          ( 390908.308   , 392801.736   )     No           3          1    2    3 
"348"         0.416          ( 390915.149   , 392820.308   )     No           3          1    2    3 
"349"         0.416          ( 390929       , 392807       )     No           3          1    2    3 
"350"         0.416          ( 390923.819   , 392805.287   )     No           3          1    2    3 
"351"         0.416          ( 390937.856   , 392793.111   )     No           3          1    2    3 
"352"         0.416          ( 390931.703   , 392784.132   )     No           3          1    2    3 
"353"         0.416          ( 390908.308   , 392801.651   )     No           3          1    2    3 
"354"         0.416          ( 390915.29    , 392820.348   )     No           3          1    2    3 
"355"         0.416          ( 390923.758   , 392805.422   )     No           3          1    2    3 
"356"         0.416          ( 390937.949   , 392793.204   )     No           3          1    2    3 
"357"         0.416          ( 390932.46    , 392783.603   )     No           3          1    2    3 
"358"         0.416          ( 390908.315   , 392801.581   )     No           3          1    2    3 
"359"         0.416          ( 390915.397   , 392820.355   )     No           3          1    2    3 
"360"         0.416          ( 390923.744   , 392805.551   )     No           3          1    2    3 
"361"         0.416          ( 390938.005   , 392793.278   )     No           3          1    2    3 
"362"         0.416          ( 390932.953   , 392783.3     )     No           3          1    2    3 
"363"         0.416          ( 390908.339   , 392801.503   )     No           3          1    2    3 
"364"         0.416          ( 390915.451   , 392820.348   )     No           3          1    2    3 
"365"         0.416          ( 390923.772   , 392805.686   )     No           3          1    2    3 
"366"         0.416          ( 390938.024   , 392793.371   )     No           3          1    2    3 
"367"         0.416          ( 390933.748   , 392782.903   )     No           3          1    2    3 
"368"         0.416          ( 390908.385   , 392801.426   )     No           3          1    2    3 
"369"         0.416          ( 390915.511   , 392820.295   )     No           3          1    2    3 
"370"         0.416          ( 390923.86    , 392805.862   )     No           3          1    2    3 
"371"         0.416          ( 390938.024   , 392793.483   )     No           3          1    2    3 
"372"         0.416          ( 390934.599   , 392782.657   )     No           3          1    2    3 
"373"         0.416          ( 390908.689   , 392801.043   )     No           3          1    2    3 
"374"         0.416          ( 390915.592   , 392820.188   )     No           3          1    2    3 
"375"         0.416          ( 390924.022   , 392806.038   )     No           3          1    2    3 
"376"         0.416          ( 390938.005   , 392793.623   )     No           3          1    2    3 
"377"         0.416          ( 390935.584   , 392782.524   )     No           3          1    2    3 
"378"         0.416          ( 390910.98    , 392798.157   )     No           3          1    2    3 
"379"         0.416          ( 390907.282   , 392801.155   )     No           3          1    2    3 
"380"         0.416          ( 390915.907   , 392819.679   )     No           3          1    2    3 
"381"         0.416          ( 390925.152   , 392806.998   )     No           3          1    2    3 
"382"         0.416          ( 390937.968   , 392793.744   )     No           3          1    2    3 
"383"         0.416          ( 390936.303   , 392782.505   )     No           3          1    2    3 
"384"         0.416          ( 390913.208   , 392795.42    )     No           3          1    2    3 
"385"         0.416          ( 390898.776   , 392802.817   )     No           3          1    2    3 
